d_codigo,Latitud,Longitud,c_estado
1000,19.34537967,-99.19427295,9
1010,19.36025814,-99.19391877,9
1020,19.35793546,-99.18707972,9
1030,19.35776839,-99.17940615,9
1040,19.35547883,-99.19192371,9
1049,19.35289659,-99.19623969,9
1050,19.34919074,-99.18136111,9
1060,19.34983125,-99.19785781,9
1070,19.34369301,-99.18610021,9
1080,19.33878525,-99.20587601,9
1089,19.33763382,-99.20299468,9
1090,19.33707173,-99.19967749,9
1100,19.39361751,-99.20489901,9
1109,19.39142205,-99.20788197,9
1110,19.3946904,-99.21535342,9
1120,19.40000117,-99.20169812,9
1125,19.39713665,-99.20637162,9
1130,19.39359767,-99.20748376,9
1139,19.39584158,-99.20396824,9
1140,19.39627995,-99.19555401,9
1150,19.39032269,-99.1989347,9
1160,19.38821722,-99.20273789,9
1170,19.38808635,-99.20669186,9
1180,19.38915831,-99.19269397,9
1200,19.38668886,-99.21822126,9
1210,19.38331005,-99.24034838,9
1219,19.38668129,-99.24141514,9
1220,19.38815985,-99.22700359,9
1230,19.37909878,-99.24133476,9
1239,19.37971269,-99.2395345,9
1240,19.3816858,-99.23818836,9
1250,19.38029147,-99.23609471,9
1259,19.3799319,-99.23339932,9
1260,19.3820778,-99.22716121,9
1269,19.38242829,-99.2268854,9
1270,19.38054014,-99.21512167,9
1275,19.38302673,-99.21950408,9
1276,19.3803166,-99.21731641,9
1278,19.38206,-99.22059338,9
1279,19.3845208,-99.21801631,9
1280,19.38375049,-99.20709138,9
1285,19.38063061,-99.20838093,9
1289,19.38252677,-99.20860797,9
1290,19.37427505,-99.22896319,9
1296,19.37694733,-99.2322556,9
1298,19.37218379,-99.22570116,9
1299,19.3755965,-99.22654817,9
1310,19.38144516,-99.25224571,9
1320,19.37937884,-99.24883379,9
1330,19.37225995,-99.26710051,9
1340,19.38096003,-99.24587618,9
1376,19.37125736,-99.25361479,9
1377,19.37492863,-99.23893046,9
1389,19.36072626,-99.25642708,9
1400,19.37336582,-99.20689746,9
1407,19.37090726,-99.22409162,9
1408,19.37258988,-99.21745336,9
1410,19.37792107,-99.20793474,9
1419,19.37891467,-99.20181464,9
1420,19.38131315,-99.19433825,9
1430,19.36619082,-99.22518536,9
1450,19.3698472,-99.21128817,9
1460,19.3755479,-99.19498159,9
1470,19.37208117,-99.19868629,9
1480,19.36867681,-99.20528612,9
1490,19.37007698,-99.19762163,9
1500,19.35659858,-99.25335205,9
1509,19.35973642,-99.23913426,9
1510,19.36765967,-99.23661745,9
1520,19.3661173,-99.24095543,9
1530,19.36027994,-99.2472053,9
1538,19.36217074,-99.25166897,9
1539,19.361478,-99.24719146,9
1540,19.35801151,-99.24230815,9
1548,19.3556416,-99.24221039,9
1549,19.35703,-99.2457229,9
1550,19.35921844,-99.23595988,9
1560,19.36273996,-99.23108579,9
1566,19.36251635,-99.22530158,9
1569,19.35891234,-99.23352794,9
1588,19.34967409,-99.24475147,9
1590,19.35396735,-99.24558594,9
1600,19.36517112,-99.2012178,9
1610,19.36153742,-99.21936529,9
1618,19.36035961,-99.22440236,9
1619,19.36017949,-99.22506254,9
1620,19.36373108,-99.21498537,9
1630,19.3559163,-99.23300691,9
1640,19.3580449,-99.22948767,9
1645,19.35824266,-99.22768256,9
1650,19.35365147,-99.23753664,9
1700,19.34364424,-99.22634079,9
1708,19.34400837,-99.22821129,9
1710,19.35921865,-99.20523592,9
1720,19.34125473,-99.24433549,9
1729,19.33904719,-99.24729725,9
1730,19.34570719,-99.23263795,9
1740,19.34647531,-99.22771691,9
1750,19.35520977,-99.22112025,9
1759,19.34934931,-99.21928129,9
1760,19.34799587,-99.21043612,9
1770,19.33076319,-99.23746754,9
1780,19.33704332,-99.22931981,9
1789,19.3362022,-99.21540787,9
1790,19.34411181,-99.20979706,9
1800,19.32712238,-99.2731434,9
1807,19.33277535,-99.25823472,9
1810,19.33874292,-99.2573148,9
1820,19.34353139,-99.26032402,9
1830,19.32305426,-99.28435939,9
1840,19.33075898,-99.24857711,9
1849,19.33201922,-99.25352335,9
1857,19.31840114,-99.26703778,9
1859,19.32277841,-99.26844343,9
1860,19.32253913,-99.26166111,9
1863,19.31285956,-99.26993087,9
1870,19.32514326,-99.2574042,9
1900,19.3196983,-99.20867382,9
1904,19.31821433,-99.22061819,9
2000,19.4802934,-99.18643792,9
2010,19.48700818,-99.1860359,9
2020,19.48760267,-99.18175926,9
2040,19.48113038,-99.17912233,9
2050,19.47782866,-99.18058977,9
2060,19.4743738,-99.17828226,9
2070,19.47360387,-99.18486773,9
2080,19.46678569,-99.18147521,9
2090,19.46153006,-99.18270073,9
2099,19.46871376,-99.18868402,9
2100,19.50832959,-99.20191486,9
2120,19.50392374,-99.19321316,9
2128,19.50131249,-99.18723854,9
2129,19.49802459,-99.18713634,9
2130,19.49925961,-99.2003818,9
2140,19.49553263,-99.19046159,9
2150,19.49381441,-99.19580836,9
2160,19.48784442,-99.19120986,9
2200,19.49387674,-99.18718659,9
2230,19.49803964,-99.17956038,9
2240,19.49292626,-99.1824119,9
2250,19.49204664,-99.17564937,9
2300,19.49560934,-99.16443098,9
2310,19.50582256,-99.17549969,9
2320,19.49033849,-99.15397132,9
2330,19.48862946,-99.159264,9
2340,19.48802818,-99.15563464,9
2360,19.48818408,-99.165324,9
2400,19.48988959,-99.20377798,9
2410,19.50466234,-99.20933044,9
2420,19.49819004,-99.20762523,9
2440,19.49130988,-99.21168276,9
2459,19.48980016,-99.19839356,9
2460,19.48707017,-99.19358114,9
2470,19.48278457,-99.19508529,9
2480,19.48638373,-99.20007659,9
2490,19.48284776,-99.19109316,9
2500,19.47211567,-99.16905594,9
2519,19.48536636,-99.17298826,9
2520,19.4866945,-99.17111739,9
2530,19.47436566,-99.17441191,9
2600,19.47512694,-99.1521212,9
2630,19.48136089,-99.15209293,9
2640,19.4800634,-99.1562292,9
2650,19.47821235,-99.15014029,9
2660,19.47694604,-99.16094052,9
2670,19.47451657,-99.16327465,9
2680,19.47458926,-99.1602375,9
2700,19.47566711,-99.20488478,9
2710,19.48372989,-99.20954779,9
2719,19.47899467,-99.21640722,9
2720,19.48090958,-99.20278659,9
2730,19.48045896,-99.19074825,9
2750,19.47686801,-99.20908339,9
2760,19.47731032,-99.19719352,9
2770,19.47488723,-99.19452335,9
2780,19.47341265,-99.19686851,9
2790,19.47511097,-99.1917394,9
2800,19.46470351,-99.16769575,9
2810,19.46754649,-99.16320276,9
2830,19.46810695,-99.1728705,9
2840,19.46387138,-99.17424232,9
2860,19.46154896,-99.16239241,9
2870,19.45963977,-99.17380582,9
2900,19.47275404,-99.15599321,9
2910,19.47083339,-99.14955824,9
2920,19.47241069,-99.16065603,9
2930,19.4702505,-99.15241109,9
2940,19.47111904,-99.1468311,9
2950,19.47001136,-99.15833653,9
2960,19.46845105,-99.14648378,9
2970,19.46675912,-99.15811446,9
2980,19.46568293,-99.1510593,9
2990,19.46577844,-99.14713095,9
3000,19.40271558,-99.15614963,9
3010,19.40315378,-99.14707129,9
3020,19.3924618,-99.15737111,9
3023,19.39363183,-99.15059251,9
3100,19.38459881,-99.16882153,9
3103,19.39550042,-99.16638546,9
3104,19.37135064,-99.17194963,9
3200,19.37633203,-99.17502652,9
3230,19.36866817,-99.1784611,9
3240,19.36388993,-99.17384347,9
3300,19.3613615,-99.14794354,9
3303,19.36949724,-99.14913585,9
3310,19.36761188,-99.15946663,9
3320,19.36813728,-99.15714527,9
3330,19.36120191,-99.16670446,9
3340,19.360885,-99.15869543,9
3400,19.39866836,-99.14110992,9
3410,19.39042681,-99.14178637,9
3420,19.38972215,-99.1442986,9
3430,19.38754028,-99.14067093,9
3440,19.38637022,-99.14322428,9
3500,19.38164221,-99.1373878,9
3510,19.39479832,-99.1343656,9
3520,19.39017847,-99.13539691,9
3530,19.38731073,-99.13599944,9
3540,19.37586397,-99.13798393,9
3550,19.37322814,-99.1385652,9
3560,19.37087486,-99.13953257,9
3570,19.36589419,-99.14014508,9
3580,19.36104732,-99.14118132,9
3590,19.35849247,-99.14171641,9
3600,19.3817104,-99.15296146,9
3610,19.38279017,-99.14191018,9
3620,19.38214414,-99.14552387,9
3630,19.379612,-99.14678267,9
3640,19.37841782,-99.1410612,9
3650,19.3758028,-99.15560932,9
3660,19.37450031,-99.14422546,9
3700,19.38197179,-99.18838799,9
3710,19.38350198,-99.17980832,9
3720,19.38050081,-99.17862081,9
3730,19.37856028,-99.18404702,9
3740,19.37729233,-99.17988319,9
3800,19.39077633,-99.18392032,9
3810,19.39340544,-99.17706178,9
3820,19.39418176,-99.18759492,9
3840,19.38681965,-99.17932904,9
3900,19.36625003,-99.18568162,9
3910,19.37231741,-99.1904217,9
3920,19.37297916,-99.18386786,9
3930,19.36648601,-99.19025645,9
3940,19.36468704,-99.18041705,9
4000,19.34717524,-99.16265994,9
4010,19.347879,-99.17305463,9
4020,19.34663501,-99.15785327,9
4030,19.34771093,-99.15381663,9
4040,19.34496729,-99.14858794,9
4100,19.35422568,-99.16599209,9
4120,19.35446792,-99.14786852,9
4200,19.34470968,-99.13548037,9
4210,19.35249509,-99.1401652,9
4230,19.35552633,-99.12678561,9
4240,19.34634202,-99.12775561,9
4250,19.34563214,-99.12535137,9
4260,19.33918213,-99.117821,9
